gkg_record_id,headline,source,url,reason
20240429094500-455,"SEBI's regulatory fee | Smaller, weekly options contracts causing regulatory charges to rise faster than transaction charges for the NSE: ICICI Securities",moneycontrol.com,https://www.moneycontrol.com/news/business/markets/sebis-regulatory-fee-smaller-weekly-option-contracts-were-causing-regulatory-charges-to-rise-faster-than-transaction-charges-for-nse-icici-securities-12710573.html,Filtered by BigQueryGKGExtractor
20240429120000-1386,ICICI Securities initiates coverage on this beauty and personal care brand,livemint.com,https://www.livemint.com/market/stock-market-news/icici-securities-initiates-coverage-on-this-beauty-and-personal-care-brand-sees-28-upside-potential-11714386303238.html,Filtered by BigQueryGKGExtractor
20240429133000-667,"Multibagger Defence Stocks Astra Microwave, Azad Engg, Solar Ind are ICICI Securities 3 top picks, ahead of Q4 results",livemint.com,https://www.livemint.com/market/stock-market-news/multibagger-defence-stocks-astra-microwave-azad-engg-solar-ind-are-icici-securities-3-top-picks-ahead-of-q4-results-11714381241867.html,Filtered by BigQueryGKGExtractor
20240429160000-737,Buy SBI Life Insurance Company; target of Rs 1795: ICICI Securities,moneycontrol.com,https://www.moneycontrol.com/news/business/buy-sbi-life-insurance-company-target-of-rs-1795-icici-securities-12710933.html,Filtered by BigQueryGKGExtractor
20240429160000-1119,Buy Shriram Finance; target of Rs 2930: ICICI Securities,moneycontrol.com,https://www.moneycontrol.com/news/business/buy-shriram-finance-target-of-rs-2930-icici-securities-12710934.html,Filtered by BigQueryGKGExtractor
20240429160000-1232,Buy Honasa Consumer; target of Rs 550: ICICI Securities,moneycontrol.com,https://www.moneycontrol.com/news/business/buy-honasa-consumer-target-of-rs-550-icici-securities-12710931.html,Filtered by BigQueryGKGExtractor
20240429160000-1820,Buy RBL Bank; target of Rs 325: ICICI Securities,moneycontrol.com,https://www.moneycontrol.com/news/business/buy-rbl-bank-target-of-rs-325-icici-securities-12710932.html,Filtered by BigQueryGKGExtractor
20240429160000-1854,Buy Zomato; target of Rs 300: ICICI Securities,moneycontrol.com,https://www.moneycontrol.com/news/business/buy-zomato-target-of-rs-300-icici-securities-2-12710936.html,Filtered by BigQueryGKGExtractor
20240429160000-2146,Buy Utkarsh Small Finance Bank; target of Rs 70: ICICI Securities,moneycontrol.com,https://www.moneycontrol.com/news/business/buy-utkarsh-small-finance-bank-target-of-rs-70-icici-securities-4-12710935.html,Filtered by BigQueryGKGExtractor
20240429160000-1009,Sell Mphasis; target of Rs 1950: ICICI Securities,moneycontrol.com,https://www.moneycontrol.com/news/business/sell-mphasis-target-of-rs-1950-icici-securities-12710929.html,Filtered by BigQueryGKGExtractor
20240429160000-1887,Hold Supreme Industries: target of Rs 4204: ICICI Securities,moneycontrol.com,https://www.moneycontrol.com/news/business/hold-supreme-industries-target-of-rs-4204-icici-securities-12710930.html,Filtered by BigQueryGKGExtractor
20240429160000-478,Hold IDFC FIRST Bank: target of Rs 85: ICICI Securities,moneycontrol.com,https://www.moneycontrol.com/news/business/hold-idfc-first-bank-target-of-rs-85-icici-securities-12710928.html,Filtered by BigQueryGKGExtractor
20240429160000-1120,Reduce HCL Technologies: target of Rs 1330: ICICI Securities,moneycontrol.com,https://www.moneycontrol.com/news/business/reduce-hcl-technologies-target-of-rs-1330-icici-securities-12710927.html,Filtered by BigQueryGKGExtractor
20240429203000-T2681,&#x906;&#x908;&#x938;&#x940;&#x906;&#x908;&#x938;&#x940;&#x906;&#x908; &#x92C;&#x948;&#x902;&#x915; &#x915;&#x93E; &#x92E;&#x941;&#x928;&#x93E;&#x92B;&#x93E; &#x91A;&#x94C;&#x925;&#x940; &#x924;&#x93F;&#x92E;&#x93E;&#x939;&#x940; &#x92E;&#x947;&#x902; 17.4% &#x92C;&#x922;&#x93C;&#x93E;,sharemanthan.in,https://www.sharemanthan.in/61-news/corporate-update/74876-icici-bank-profit-npa-q4-revenue-nii-nim-dividend-29042024,Filtered by BigQueryGKGExtractor
20240429230000-37,ICICI Prudential Life Insurance net jumps over 2-fold to Rs 185 cr in January-March,rashtranews.com,https://www.rashtranews.com/icici-prudential-life-insurance-net-jumps-over-2-fold-to-rs-185-cr-in-january-march/,Filtered by BigQueryGKGExtractor
20240430004500-1038,"ICICI market cap tops Rs 8 trillion, bank storms into the top five",financialexpress.com,https://www.financialexpress.com/market/icici-market-cap-tops-rs-8-trillion-bank-storms-into-the-top-five-3472054/,Filtered by BigQueryGKGExtractor
20240430044500-373,"Sanofi India stocks: Add Sanofi India, target price Rs 9170:  ICICI Securities",indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/recos/add-sanofi-india-target-price-rs-9170-icici-securities/articleshow/109711492.cms,Filtered by BigQueryGKGExtractor
20240430044500-625,"Honasa Consumer stocks: Buy Honasa Consumer, target price Rs 550:  ICICI Securities",indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/recos/buy-honasa-consumer-target-price-rs-550-icici-securities/articleshow/109711593.cms,Filtered by BigQueryGKGExtractor
20240430044500-471,"Utkarsh Small Finance Bank stocks: Buy Utkarsh Small Finance Bank, target price Rs 70:  ICICI Securities",indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/recos/buy-utkarsh-small-finance-bank-target-price-rs-70-icici-securities/articleshow/109711658.cms,Filtered by BigQueryGKGExtractor
20240430044500-819,"Zomato stocks: Buy Zomato, target price Rs 300:  ICICI Securities",indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/recos/buy-zomato-target-price-rs-300-icici-securities/articleshow/109711342.cms,Filtered by BigQueryGKGExtractor
20240430044500-581,"MphasiS stocks: Sell MphasiS, target price Rs 1950:  ICICI Securities",indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/recos/sell-mphasis-target-price-rs-1950-icici-securities/articleshow/109711738.cms,Filtered by BigQueryGKGExtractor
20240430060000-314,"Rupee is likely to depreciate today : April 30, 2024: ICICI Direct",moneycontrol.com,https://www.moneycontrol.com/news/currency/rupee-is-likely-to-depreciate-today-april-30-2024-icici-direct-12711300.html,Filtered by BigQueryGKGExtractor
20240430074500-1599,ICICI Lombard Share Price: ICICI Lombard shares  rise  0.67 per cent in Tuesday's trading session,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/icici-lombard-shares-rise-0-67-per-cent-in-tuesdays-trading-session/articleshow/109718155.cms,Filtered by BigQueryGKGExtractor
20240430080000-635,ICICI Pru share price: ICICI Prudential receives GST and penalty order of Rs 835 cr,indiatimes.com,https://economictimes.indiatimes.com/industry/banking/finance/insure/icici-prudential-receives-gst-and-penalty-order-of-rs-835-cr/articleshow/109718975.cms,Filtered by BigQueryGKGExtractor
20240430093000-778,ICICI Joins Elite Club With Rs 10 Lakh Crore In Market Capitalisation,news18.com,https://www.news18.com/business/icici-joins-elite-club-with-rs-10-lakh-crore-in-market-capitalisation-8871433.html,Filtered by BigQueryGKGExtractor
20240430101500-34,Sell Yes Bank; target of Rs 20: ICICI Securities,moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/sell-yes-bank-target-of-rs-20-icici-securities-12711455.html,Filtered by BigQueryGKGExtractor
20240430134500-1231,ICICI Securities Names ICICI Bank's Group CHRO T.K. Srirang as Joint MD,siliconindia.com,https://www.siliconindia.com/news/general/icici-securities-names-icici-banks-group-chro-tk-srirang-as-joint-md-nid-229262-cid-1.html,Filtered by BigQueryGKGExtractor
20240430150000-1060,Hold Mahindra Lifespace Developers; target of Rs 649: ICICI Securities,moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/hold-mahindra-lifespace-developers-target-of-rs-649-icici-securities-12711422.html,Filtered by BigQueryGKGExtractor
20240430150000-2019,Buy Craftsman Automation; target of Rs 5085: ICICI Securities,moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/buy-craftsman-automation-target-of-rs-5085-icici-securities-12711450.html,Filtered by BigQueryGKGExtractor
20240430150000-1571,Buy PNB Housing Finance; target of Rs 1010: ICICI Securities,moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/buy-pnb-housing-finance-target-of-rs-1010-icici-securities-12711434.html,Filtered by BigQueryGKGExtractor
20240430150000-134,Buy Spandana Spoorthy Financial; target of Rs 1200: ICICI Securities,moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/buy-spandana-spoorthy-financial-target-of-rs-1200-icici-securities-12711436.html,Filtered by BigQueryGKGExtractor
20240430154500-770,"Hold UltraTech Cement; target of Rs 10,411: ICICI Securities",moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/hold-ultratech-cement-target-of-rs-10411-icici-securities-12711417.html,Filtered by BigQueryGKGExtractor
20240430154500-1179,Hold Trent; target of Rs 4200: ICICI Securities,moneycontrol.com,https://www.moneycontrol.com/news/business/stocks/hold-trent-target-of-rs-4200-icici-securities-12711338.html,Filtered by BigQueryGKGExtractor
