article_id,ticker,headline,url,canonical_url,source,published_at,trading_date,timestamp_basis,human_label,human_notes
20250414050000-495,TCS.NS,"TCS Employees Will Get Promotions, But No Salary Hike - Trak.in - Indian Business of Tech, Mobile & Startups",https://trak.in/stories/tcs-employees-will-get-promotions-but-no-salary-hike/,https://trak.in/stories/tcs-employees-will-get-promotions-but-no-salary-hike/,trak.in,2025-04-14T10:30:00+05:30,2025-04-15,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250414053000-291,TCS.NS,"TCS: Travel, Retail Clients Most at Risk from U.S. Tariff Uncertainty",https://www.siliconindia.com/news/general/tcs-travel-retail-clients-most-at-risk-from-us-tariff-uncertainty-nid-235481-cid-1.html,https://www.siliconindia.com/news/general/tcs-travel-retail-clients-most-at-risk-from-us-tariff-uncertainty-nid-235481-cid-1.html,siliconindia.com,2025-04-14T11:00:00+05:30,2025-04-15,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250414070000-664,TCS.NS,"After Narayana Murthy's Infosys, now this IT company sacks hundreds of employees due to..., not Ratan Tata's TCS, Microsoft, name is...",https://www.india.com/business/after-narayana-murthys-infosys-now-sundar-pichai-led-it-company-sacks-hundreds-of-employees-due-to-not-ratan-tatas-tcs-microsoft-name-is-google-7753567/,https://www.india.com/business/after-narayana-murthys-infosys-now-sundar-pichai-led-it-company-sacks-hundreds-of-employees-due-to-not-ratan-tatas-tcs-microsoft-name-is-google-7753567/,india.com,2025-04-14T12:30:00+05:30,2025-04-15,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250414073000-192,TCS.NS,TCS CEO Krithivasan expects tariff 'uncertainty' to be 'resolved soon': Report,https://www.moneycontrol.com/technology/tcs-ceo-krithivasan-expects-tariff-uncertainty-to-be-resolved-soon-report-article-12993111.html,https://www.moneycontrol.com/technology/tcs-ceo-krithivasan-expects-tariff-uncertainty-to-be-resolved-soon-report-article-12993111.html,moneycontrol.com,2025-04-14T13:00:00+05:30,2025-04-15,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250414081500-T211,TCS.NS,"Tcs ceo k krithivasan: टीसीएस के सीईओ ने कहा- ट्रंप टैरिफ का सबसे ज्यादा असर रिटेल, ट्रैवल और ऑटो सेक्टर पर पड़ेगा",https://hindi.moneycontrol.com/news/markets/tcs-ceo-k-krithivasan-says-trump-tariff-will-impact-retail-travel-and-auto-sectors-most-1970217.html,https://hindi.moneycontrol.com/news/markets/tcs-ceo-k-krithivasan-says-trump-tariff-will-impact-retail-travel-and-auto-sectors-most-1970217.html,moneycontrol.com,2025-04-14T13:45:00+05:30,2025-04-15,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250414093000-2,TCS.NS,"TCS promotes over 1.1 lakh employees in FY25; to hire 42,000 trainees in FY26 despite deferred increments",https://economictimes.indiatimes.com/jobs/fresher/tcs-promotes-over-1-1-lakh-employees-in-fy25-to-hire-42000-trainees-in-fy26-despite-deferred-increments/articleshow/120276138.cms,https://economictimes.indiatimes.com/jobs/fresher/tcs-promotes-over-1-1-lakh-employees-in-fy25-to-hire-42000-trainees-in-fy26-despite-deferred-increments/articleshow/120276138.cms,indiatimes.com,2025-04-14T15:00:00+05:30,2025-04-15,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250414110000-1138,TCS.NS,"Today's Cache | Trump says electronics tariff exemptions temporary; Apple shares lead tech higher; TCS says retail, travel clients more exposed to tariffs",https://www.thehindu.com/newsletter/newsletter-today-cache/todays-cache-trump-says-electronics-tariff-exemptions-temporary-apple-shares-lead-tech-higher-tcs-says-retail-travel-clients-more-exposed-to-tariffs/article69448812.ece,https://www.thehindu.com/newsletter/newsletter-today-cache/todays-cache-trump-says-electronics-tariff-exemptions-temporary-apple-shares-lead-tech-higher-tcs-says-retail-travel-clients-more-exposed-to-tariffs/article69448812.ece,thehindu.com,2025-04-14T16:30:00+05:30,2025-04-15,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250414114500-T1285,TCS.NS,"₹32,722 करोड़ का डिविडेंड! TCS से रिकॉर्ड डिविडेंड पाएगी Tata Sons, कई नए प्रोजेक्ट्स में लगेगा पैसा - dividend of %e2%82%b932722 crores tata sons will get record dividend from tcs will make big investments in semiconductor and aviation projects",https://hindi.business-standard.com/companies/dividend-of-%E2%82%B932722-crores-tata-sons-will-get-record-dividend-from-tcs-will-make-big-investments-in-semiconductor-and-aviation-projects-id-430453,https://hindi.business-standard.com/companies/dividend-of-%E2%82%B932722-crores-tata-sons-will-get-record-dividend-from-tcs-will-make-big-investments-in-semiconductor-and-aviation-projects-id-430453,business-standard.com,2025-04-14T17:15:00+05:30,2025-04-15,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250415020000-1216,TCS.NS,TCS's Ms Fixit becomes Indian IT's first woman COO,https://timesofindia.indiatimes.com/business/india-business/tcss-new-coo-aarthi-breaks-it-glass-ceiling/articleshow/120294128.cms,https://timesofindia.indiatimes.com/business/india-business/tcss-new-coo-aarthi-breaks-it-glass-ceiling/articleshow/120294128.cms,indiatimes.com,2025-04-15T07:30:00+05:30,2025-04-15,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250415021500-468,TCS.NS,Mint Primer | Will IT get better or worse? TCS points to cautious growth ahead,https://www.livemint.com/industry/infotech/mint-primer-will-it-get-better-or-worse-tcs-points-to-cautious-growth-ahead-11744653333141.html,https://www.livemint.com/industry/infotech/mint-primer-will-it-get-better-or-worse-tcs-points-to-cautious-growth-ahead-11744653333141.html,livemint.com,2025-04-15T07:45:00+05:30,2025-04-15,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250415024500-877,TCS.NS,GenAI will aid margins despite cannibalisation of productivity gains: TCS CFO,https://economictimes.indiatimes.com/tech/information-tech/genai-will-aid-margins-despite-cannibalisation-of-productivity-gains-tcs-cfo/articleshow/120289033.cms,https://economictimes.indiatimes.com/tech/information-tech/genai-will-aid-margins-despite-cannibalisation-of-productivity-gains-tcs-cfo/articleshow/120289033.cms,indiatimes.com,2025-04-15T08:15:00+05:30,2025-04-15,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
