gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,ist_dt,canonical_url
20240423094500-1466,20240423094500,thehindu.com,https://www.thehindu.com/brandhub/young-professionals-start-building-wealth-with-bajaj-finance-fixed-deposit/article68097362.ece,Young Professionals: Start Building Wealth with Bajaj Finance Fixed Deposit,ACCEPTED,True,2024-04-23,2024-04-23 15:15:00+05:30,https://www.thehindu.com/brandhub/young-professionals-start-building-wealth-with-bajaj-finance-fixed-deposit/article68097362.ece
20240424041500-537,20240424041500,moneycontrol.com,https://www.moneycontrol.com/news/business/earnings/emkay-research-initiates-coverage-on-bajaj-finance-with-buy-call-sees-23-upside-12706780.html,"Emkay Research initiates coverage on Bajaj Finance with 'buy' call, sees 23% upside",ACCEPTED,True,2024-04-24,2024-04-24 09:45:00+05:30,https://www.moneycontrol.com/news/business/earnings/emkay-research-initiates-coverage-on-bajaj-finance-with-buy-call-sees-23-upside-12706780.html
20240424070000-394,20240424070000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/earnings/bajaj-finance-q4-preview-healthy-profit-nii-growth-seen-but-margins-may-contract/articleshow/109553302.cms,"Bajaj Finance Q4 Preview: Healthy profit, NII growth seen, but margins may contract",ACCEPTED,True,2024-04-24,2024-04-24 12:30:00+05:30,https://economictimes.indiatimes.com/markets/stocks/earnings/bajaj-finance-q4-preview-healthy-profit-nii-growth-seen-but-margins-may-contract/articleshow/109553302.cms
20240424114500-1413,20240424114500,moneycontrol.com,https://www.moneycontrol.com/news/business/earnings/bajaj-finance-q4-preview-strong-aum-growth-to-drive-income-profit-but-cost-of-funds-to-dent-margins-12706997.html,"Bajaj Finance Q4 preview: Strong AUM growth to drive income, profit but cost of funds to dent margins",ACCEPTED,True,2024-04-25,2024-04-24 17:15:00+05:30,https://www.moneycontrol.com/news/business/earnings/bajaj-finance-q4-preview-strong-aum-growth-to-drive-income-profit-but-cost-of-funds-to-dent-margins-12706997.html
20240424144500-993,20240424144500,marketscreener.com,https://www.marketscreener.com/quote/stock/BSE-LIMITED-33930062/news/BSE-Listing-of-new-Commercial-Paper-of-Bajaj-Finance-Limited-46517652/,BSE : Listing of new Commercial Paper of Bajaj Finance Limited,ACCEPTED,True,2024-04-25,2024-04-24 20:15:00+05:30,https://www.marketscreener.com/quote/stock/BSE-LIMITED-33930062/news/BSE-Listing-of-new-Commercial-Paper-of-Bajaj-Finance-Limited-46517652
20240425010000-794,20240425010000,financialexpress.com,https://www.financialexpress.com/market/stocks-to-watch-kotak-mahindra-bank-hindustan-unilever-axis-bank-reliance-industries-tcs-bajaj-finance-tech-mahindra-3467673/,"Stocks To Watch: Kotak Mahindra Bank, Hindustan Unilever, Axis Bank, Reliance Industries, TCS, Bajaj Finance, Tech Mahindra",ACCEPTED,True,2024-04-25,2024-04-25 06:30:00+05:30,https://www.financialexpress.com/market/stocks-to-watch-kotak-mahindra-bank-hindustan-unilever-axis-bank-reliance-industries-tcs-bajaj-finance-tech-mahindra-3467673
20240425013000-1306,20240425013000,livemint.com,https://www.livemint.com/companies/company-results/q4-results-today-bajaj-finance-indusind-bank-tech-mahindra-among-38-companies-to-report-q4-earnings-on-april-25-11713978167879.html,"Q4 results today: Bajaj Finance, IndusInd Bank, Tech Mahindra among 38 companies to report Q4 earnings on April 25",ACCEPTED,True,2024-04-25,2024-04-25 07:00:00+05:30,https://www.livemint.com/companies/company-results/q4-results-today-bajaj-finance-indusind-bank-tech-mahindra-among-38-companies-to-report-q4-earnings-on-april-25-11713978167879.html
20240425034500-378,20240425034500,businesstoday.in,https://www.businesstoday.in/markets/stocks/story/stocks-in-the-news-kotak-bank-hul-bajaj-finance-sbi-vedanta-itc-rvnl-and-more-426814-2024-04-25,"Stocks in the News: Kotak Bank, HUL, Bajaj Finance, SBI, Vedanta, ITC, RVNL and more",ACCEPTED,True,2024-04-25,2024-04-25 09:15:00+05:30,https://www.businesstoday.in/markets/stocks/story/stocks-in-the-news-kotak-bank-hul-bajaj-finance-sbi-vedanta-itc-rvnl-and-more-426814-2024-04-25
20240425041500-431,20240425041500,hindustantimes.com,https://www.hindustantimes.com/business/tech-mahindra-bajaj-finance-mphasis-acc-nestle-and-others-to-report-q4-results-today-check-list-101714015814541.html,"Tech Mahindra, Bajaj Finance, Mphasis, ACC, Nestle, and others to report Q4 results today; check list",ACCEPTED,True,2024-04-25,2024-04-25 09:45:00+05:30,https://www.hindustantimes.com/business/tech-mahindra-bajaj-finance-mphasis-acc-nestle-and-others-to-report-q4-results-today-check-list-101714015814541.html
20240425050000-1050,20240425050000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/earnings/q4-results-today-bajaj-finance-nestle-tech-mahindra-among-44-companies-to-announce-earnings/articleshow/109581187.cms,"Q4 results today: Bajaj Finance, Nestle, Tech Mahindra among 44 companies to announce earnings",ACCEPTED,True,2024-04-25,2024-04-25 10:30:00+05:30,https://economictimes.indiatimes.com/markets/stocks/earnings/q4-results-today-bajaj-finance-nestle-tech-mahindra-among-44-companies-to-announce-earnings/articleshow/109581187.cms
