gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,ist_dt,canonical_url
20240425121500-760,20240425121500,outlookindia.com,https://business.outlookindia.com/corporate/kotak-mahindra-bank-rbi-credit-cards-kotak-share-price,Kotak Mahindra Bank RBI Credit Cards Kotak Share Price,ACCEPTED,True,2024-04-26,2024-04-25 17:45:00+05:30,https://business.outlookindia.com/corporate/kotak-mahindra-bank-rbi-credit-cards-kotak-share-price
20240425121500-135,20240425121500,indiatimes.com,https://economictimes.indiatimes.com/wealth/save/kotak-mahindra-bank-is-your-kotak-811-account-safe-can-kotak-mahindra-credit-card-customers-renew-cards-8-key-queries-answered/articleshow/109595095.cms,Kotak Mahindra Bank: Is your Kotak 811 account safe? Can Kotak Mahindra credit card customers renew cards? 8 key queries answered,ACCEPTED,True,2024-04-26,2024-04-25 17:45:00+05:30,https://economictimes.indiatimes.com/wealth/save/kotak-mahindra-bank-is-your-kotak-811-account-safe-can-kotak-mahindra-credit-card-customers-renew-cards-8-key-queries-answered/articleshow/109595095.cms
20240425123000-1922,20240425123000,srilankasource.com,https://www.srilankasource.com/news/274308532/kotak-mahindra-bank-share-tanks-10-after-rbi-bars-on-boarding-customers-digitally,Kotak Mahindra Bank share tanks 10% after RBI bars on boarding customers digitally,ACCEPTED,True,2024-04-26,2024-04-25 18:00:00+05:30,https://www.srilankasource.com/news/274308532/kotak-mahindra-bank-share-tanks-10-after-rbi-bars-on-boarding-customers-digitally
20240425124500-585,20240425124500,livemint.com,https://www.livemint.com/news/trends/check-ashneer-grovers-lol-remark-on-kotak-mahindra-bank-after-share-prices-drop-10-netizens-react-11714045737549.html,"Ashneer Grover says, 'Banks se tech nahi ho rahi' as Kotak Mahindra Bank share prices drop 10%; netizens react",ACCEPTED,True,2024-04-26,2024-04-25 18:15:00+05:30,https://www.livemint.com/news/trends/check-ashneer-grovers-lol-remark-on-kotak-mahindra-bank-after-share-prices-drop-10-netizens-react-11714045737549.html
20240425124500-1479,20240425124500,livemint.com,https://www.livemint.com/industry/banking/rbi-crackdown-on-kotak-mahindra-bank-customer-accuses-bank-of-fraud-over-fake-account-opening-bank-refunds-money-11714044778437.html,"Kotak Mahindra Bank scam alert! Amid RBI crackdown, customer 'conned' of ₹10k on account opening, money refunded",ACCEPTED,True,2024-04-26,2024-04-25 18:15:00+05:30,https://www.livemint.com/industry/banking/rbi-crackdown-on-kotak-mahindra-bank-customer-accuses-bank-of-fraud-over-fake-account-opening-bank-refunds-money-11714044778437.html
20240425124500-175,20240425124500,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/rs-1000-turns-into-rs-20-lakh-in-1-day-short-contracts-of-kotak-mahindra-bank-appreciate-by-as-much-as-71600-12708290.html,"Rs 1,000 turns into Rs 20 lakh in 1 day! Short contracts of Kotak Mahindra Bank appreciate by as much as 71,600%",ACCEPTED,True,2024-04-26,2024-04-25 18:15:00+05:30,https://www.moneycontrol.com/news/business/markets/rs-1000-turns-into-rs-20-lakh-in-1-day-short-contracts-of-kotak-mahindra-bank-appreciate-by-as-much-as-71600-12708290.html
20240425124500-597,20240425124500,moneycontrol.com,https://www.moneycontrol.com/news/business/personal-finance/rbis-diktat-on-kotak-mahindra-bank-what-should-existing-customers-fresh-loan-and-credit-card-applicants-do-12708254.html,"RBI's diktat on Kotak Mahindra Bank: What should existing customers, fresh loan and credit card applicants do?",ACCEPTED,True,2024-04-26,2024-04-25 18:15:00+05:30,https://www.moneycontrol.com/news/business/personal-finance/rbis-diktat-on-kotak-mahindra-bank-what-should-existing-customers-fresh-loan-and-credit-card-applicants-do-12708254.html
20240425140000-26,20240425140000,businesstoday.in,https://www.businesstoday.in/visualstories/stock/axis-bank-sbi-top-gainers-on-nifty50-as-market-extends-gains-kotak-mahindra-bank-most-active-on-april-25-131539-25-04-2024,"Axis Bank, SBI top gainers on Nifty50 as market extends gains; Kotak Mahindra Bank most active on April 25",ACCEPTED,True,2024-04-26,2024-04-25 19:30:00+05:30,https://www.businesstoday.in/visualstories/stock/axis-bank-sbi-top-gainers-on-nifty50-as-market-extends-gains-kotak-mahindra-bank-most-active-on-april-25-131539-25-04-2024
20240425140000-360,20240425140000,yourstory.com,https://yourstory.com/2024/04/rbi-kotak-bank-digital-operations-critical-tech-compliance-lapses,RBI restricts Kotak Bank's digital operations due to critical tech and compliance lapses,ACCEPTED,True,2024-04-26,2024-04-25 19:30:00+05:30,https://yourstory.com/2024/04/rbi-kotak-bank-digital-operations-critical-tech-compliance-lapses
20240425141500-1544,20240425141500,moneycontrol.com,https://www.moneycontrol.com/news/business/banks/kotak-mahindra-bank-ceo-says-working-to-address-rbis-concerns-12708396.html,Kotak Mahindra Bank CEO says working to address RBI's concerns,ACCEPTED,True,2024-04-26,2024-04-25 19:45:00+05:30,https://www.moneycontrol.com/news/business/banks/kotak-mahindra-bank-ceo-says-working-to-address-rbis-concerns-12708396.html
