stage,page_title,url,source,DATE,reason
entity_matcher_rejected,"Indian shares set to open higher; Adani, auto stocks in focus",https://www.marketscreener.com/quote/index/SENSEX-BSE30-7426/news/Indian-shares-set-to-open-higher-Adani-auto-stocks-in-focus-47281397/,marketscreener.com,20240702040000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Stock alert: Tata Motors, TVS Motor, Hero Motocorp, NMDC, South Indian Bank, CSB Bank",https://www.business-standard.com/markets/capital-market-news/stock-alert-tata-motors-tvs-motor-hero-motocorp-nmdc-south-indian-bank-csb-bank-124070200111_1.html,business-standard.com,20240702040000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Stocks in news: Allied Blenders, Lupin, Tata Motors, Hero Moto, NMDC, KPI Green and Indian Bank",https://www.businesstoday.in/markets/story/stocks-in-news-allied-blenders-lupin-tata-motors-hero-moto-nmdc-kpi-green-and-indian-bank-435375-2024-07-02,businesstoday.in,20240702043000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,Top 10 stocks for today – 2nd July 2024,https://www.indiainfoline.com/news/markets/top-10-stocks-for-today-2nd-july-2024,indiainfoline.com,20240702044500,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Stocks To Focus: Coal India, OMCs, Paytm, Patanjali Foods, NMDC",https://www.siliconindia.com/news/general/stocks-to-focus-coal-india-omcs-paytm-patanjali-foods-nmdc-nid-230497-cid-1.html,siliconindia.com,20240702050000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Stocks in News: Maruti, Tata Motors, CDSL, Carysil, Hero Motors, TVS Motor, KPI Green Energy",https://www.sakshipost.com/news/business/stocks-news-maruti-tata-motors-cdsl-carysil-hero-motors-tvs-motor-kpi-green-energy,sakshipost.com,20240702050000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,Stocks that will see action today: 2 July 2024 - The Hindu BusinessLine,https://www.thehindubusinessline.com/markets/stocks-that-will-see-action-today-2-july-2023/article68358016.ece,thehindubusinessline.com,20240702060000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,Indian defence firms need to invest more in innovations and R&D to keep pace with global standards: Report – Indian Defence Research Wing,https://idrw.org/indian-defence-firms-need-to-invest-more-in-innovations-and-rd-to-keep-pace-with-global-standards-report/,idrw.org,20240702063000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Sensex, Nifty Little Changed; Banks And Financials Drift Lower",https://www.rttnews.com/story.aspx?Id=3457568,rttnews.com,20240702063000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Sensex, Nifty Little Changed; Banks And Financials Drift Lower",https://www.rttnews.com/3457568/sensex-nifty-little-changed-banks-and-financials-drift-lower.aspx,rttnews.com,20240702071500,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,MEED | Aramco awards $25bn of gas expansion contracts,https://www.meed.com:443/aramco-awards-25bn-contracts-for-gas-expansion-programmes,meed.com,20240702090000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Stock market today: Nifty 50, Sensex hit fresh record highs, end in the red on profit booking",https://www.livemint.com/market/stock-market-news/stock-market-today-nifty-50-sensex-hit-fresh-record-highs-end-in-the-red-on-profit-booking-11719914242075.html,livemint.com,20240702103000,Entity matcher rejected (no positive signal or matched exclusion)
