GKGRECORDID,DATE,page_title,url,source,rejection_reason
20240109050000-879,20240109050000,"Sensex opens 493 points higher at 71,849, Nifty at 21,674",https://www.hindustantimes.com/business/sensex-opens-456-points-higher-at-71-811-nifty-at-21667-101704770472329.html,hindustantimes.com,MATCHER_REJECTED
20240109051500-654,20240109051500,Markets rebound sharply in early trade on firm global trends,https://www.thehindu.com/business/markets/markets-rebound-sharply-in-early-trade-on-firm-global-trends/article67722049.ece,thehindu.com,MATCHER_REJECTED
20240109051500-605,20240109051500,"Stock Market Updates: Sensex Jumps 450 pts, Nifty Tops 21,650; ZEEL Tumbles 9%",https://www.news18.com/business/stock-market-updates-sensex-jumps-450-pts-nifty-tops-21650-zeel-tumbles-9-8733019.html,news18.com,MATCHER_REJECTED
20240109051500-638,20240109051500,Q3 Preview: Atleast 23 companies to see profits doubling YoY as earnings momentum continues,https://economictimes.indiatimes.com/markets/stocks/earnings/q3-preview-atleast-23-companies-to-see-profits-doubling-yoy-as-earnings-momentum-continues/articleshow/106653819.cms,indiatimes.com,MATCHER_REJECTED
20240109063000-429,20240109063000,Stock Market Sectors: Stock market update: Power stocks  up  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-rises/articleshow/106656892.cms,indiatimes.com,MATCHER_REJECTED
20240109063000-637,20240109063000,"Stock market | Sensex jumps over 493 points to 71,848 in early trade; Nifty climbs 160 points to 21,673",https://www.telegraphindia.com/feeds/business/sensex-jumps-over-493-points-to-71848-in-early-trade-nifty-climbs-160-points-to-21673/cid/1992529,telegraphindia.com,MATCHER_REJECTED
20240109064500-71,20240109064500,"Stock market | Sensex jumps over 493 points to 71,848 in early trade; Nifty climbs 160 points to 21,673",https://www.telegraphindia.com/business/sensex-jumps-over-493-points-to-71848-in-early-trade-nifty-climbs-160-points-to-21673/cid/1992529,telegraphindia.com,MATCHER_REJECTED
20240109113000-654,20240109113000,Stock Market Sectors: Stock market update: Fertilisers stocks  up  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/106667906.cms,indiatimes.com,MATCHER_REJECTED
20240109113000-415,20240109113000,Stock Market Sectors: Stock market update: Power stocks  up  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-rises/articleshow/106668179.cms,indiatimes.com,MATCHER_REJECTED
20240109113000-585,20240109113000,"Stock market today: Nifty 50, Sensex end flat; BSE Smallcap hits fresh all-time high",https://www.livemint.com/market/stock-market-news/stock-market-today-nifty-50-sensex-end-flat-bse-smallcap-hits-fresh-all-time-high-11704794167454.html,livemint.com,MATCHER_REJECTED
20240109113000-695,20240109113000,Market rebound loses steam in fag-end trade,https://www.orissapost.com/market-rebound-loses-steam-in-fag-end-trade/,orissapost.com,MATCHER_REJECTED
20240109114500-814,20240109114500,Stock Market Sectors: Stock market update: Sugar stocks  down  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-down-as-market-rises/articleshow/106668814.cms,indiatimes.com,MATCHER_REJECTED
20240109120000-1203,20240109120000,Stock Market Sectors: Stock market update: Mining stocks  up  as market  rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-up-as-market-rises/articleshow/106669328.cms,indiatimes.com,MATCHER_REJECTED
20240109123000-58,20240109123000,"Equity benchmarks Sensex, Nifty close moderately higher",https://www.thehindu.com/business/markets/equity-benchmarks-sensex-nifty-close-moderately-higher/article67722983.ece,thehindu.com,MATCHER_REJECTED
20240109130000-836,20240109130000,Sensex And Nifty Rebound Loses Steam In Fag-end Trade,https://zeenews.india.com/markets/sensex-and-nifty-rebound-loses-steam-in-fag-end-trade-2707837.html,india.com,MATCHER_REJECTED
20240109131500-1727,20240109131500,Market rebound loses steam in fag-end trade as investors book profits ahead of earnings season,https://www.theweek.in/news/biz-tech/2024/01/09/market-rebound-loses-steam-in-fag-end-trade-as-investors-book-profits-ahead-of-earnings-season.html,theweek.in,MATCHER_REJECTED
20240109133000-177,20240109133000,LTIMindtree Launches Hybrid Cloud Management Platform; Canvas CloudXperienz,https://www.marketscreener.com/quote/stock/LTIMINDTREE-LIMITED-31496899/news/LTIMindtree-Launches-Hybrid-Cloud-Management-Platform-Canvas-CloudXperienz-45705858/,marketscreener.com,MATCHER_REJECTED
20240109144500-332,20240109144500,A New Airport Terminal in Bengaluru Brings Nature Inside,https://www.architecturalrecord.com/articles/16665-a-new-airport-terminal-in-bengaluru-brings-nature-inside,architecturalrecord.com,MATCHER_REJECTED
20240109144500-1128,20240109144500,"Nifty, Sensex Remain Under Pressure - Tuesday Closing Report",https://www.moneylife.in/article/nifty-sensex-remain-under-pressure-tuesday-closing-report/73088.html,moneylife.in,MATCHER_REJECTED
20240109150000-1461,20240109150000,Market rebound loses steam in fag-end trade,https://www.tribuneindia.com/news/business/market-rebound-loses-steam-in-fag-end-trade-579717,tribuneindia.com,MATCHER_REJECTED
20240109151500-1363,20240109151500,Sensex loses steam on fag-end profit-taking,https://www.rediff.com/business/report/sensex-loses-steam-on-fag-end-profit-taking/20240109.htm,rediff.com,MATCHER_REJECTED
20240109173000-241,20240109173000,India's longest sea bridge set to be launched this week - The Hindu BusinessLine,https://www.thehindubusinessline.com/companies/indias-longest-sea-bridge-set-to-be-launched-this-week/article67723669.ece,thehindubusinessline.com,MATCHER_REJECTED
20240110054500-55,20240110054500,LTIMindtree Launches Hybrid Cloud Management Platform Canvas CloudXperienz,https://www.theweek.in/wire-updates/business/2024/01/10/dcm6-ltimindtree.html,theweek.in,MATCHER_REJECTED
20240110060000-202,20240110060000,Markets decline in early trade on fresh foreign fund outflows,https://www.thehindu.com/business/markets/sensex-updates-on-january-10-2024/article67725862.ece,thehindu.com,MATCHER_REJECTED
20240110063000-365,20240110063000,"India News | Markets Decline in Early Trade on Fresh Foreign Fund Outflows, Weak Global Trends",https://www.latestly.com/agency-news/india-news-markets-decline-in-early-trade-on-fresh-foreign-fund-outflows-weak-global-trends-5682721.html,latestly.com,MATCHER_REJECTED
20240110070000-483,20240110070000,"Stock market | Sensex declines over 81 points to 71,304 in early trade; Nifty dips 27 points to 21,517",https://www.telegraphindia.com/feeds/business/sensex-declines-over-81-points-to-71304-in-early-trade-nifty-dips-27-points-to-21517/cid/1992772,telegraphindia.com,MATCHER_REJECTED
