article_id,ticker,headline,url,canonical_url,source,published_at,trading_date,timestamp_basis
20240413080000-406,TCS.NS,"TCS Announces Salary Hikes For Employees, Top Performers To Get Double-Digit Increments",https://www.news18.com/business/tcs-announces-salary-hikes-for-employees-top-performers-to-get-double-digit-increments-8850020.html,https://www.news18.com/business/tcs-announces-salary-hikes-for-employees-top-performers-to-get-double-digit-increments-8850020.html,news18.com,2024-04-13T13:30:00+05:30,2024-04-15,gdelt_gkg_observation
20240413080000-346,TCS.NS,"""Very pleased to close Q4, FY24 on strong note, says TCS CEO on reporting 9% rise in net profit",https://aninews.in/news/business/very-pleased-to-close-q4-fy24-on-strong-note-says-tcs-ceo-on-reporting-9-rise-in-net-profit20240412185139/,https://aninews.in/news/business/very-pleased-to-close-q4-fy24-on-strong-note-says-tcs-ceo-on-reporting-9-rise-in-net-profit20240412185139/,aninews.in,2024-04-13T13:30:00+05:30,2024-04-15,gdelt_gkg_observation
20240413081500-543,TCS.NS,"Net profit | Tata Consultancy Services profits up 9 per cent in fourth quarter, beats analyst estimates",https://www.telegraphindia.com/business/tata-consultancy-services-profits-up-9-per-cent-in-fourth-quarter-beats-analyst-estimates/cid/2013047,https://www.telegraphindia.com/business/tata-consultancy-services-profits-up-9-per-cent-in-fourth-quarter-beats-analyst-estimates/cid/2013047,telegraphindia.com,2024-04-13T13:45:00+05:30,2024-04-15,gdelt_gkg_observation
20240413081500-382,TCS.NS,First in two decades: TCS on-year headcount falls in FY24,https://www.financialexpress.com/jobs-career/first-in-two-decades-tcs-on-year-headcount-falls-in-fy24-3455720/,https://www.financialexpress.com/jobs-career/first-in-two-decades-tcs-on-year-headcount-falls-in-fy24-3455720/,financialexpress.com,2024-04-13T13:45:00+05:30,2024-04-15,gdelt_gkg_observation
20240413084500-46,TCS.NS,"TCS hires 10,000-plus students from engineering colleges, next 'hiring phase' starts soon",https://timesofindia.indiatimes.com/technology/tech-news/tcs-hires-10000-plus-students-from-engineering-colleges-next-hiring-phase-starts-soon/articleshow/109245912.cms,https://timesofindia.indiatimes.com/technology/tech-news/tcs-hires-10000-plus-students-from-engineering-colleges-next-hiring-phase-starts-soon/articleshow/109245912.cms,indiatimes.com,2024-04-13T14:15:00+05:30,2024-04-15,gdelt_gkg_observation
20240413084500-24,TCS.NS,"TCS Announces Salary Hikes For Employees, Top Performers To Get Double-Digit Increments",https://article.wn.com/view/2024/04/13/TCS_Announces_Salary_Hikes_For_Employees_Top_Performers_To_G/,https://article.wn.com/view/2024/04/13/TCS_Announces_Salary_Hikes_For_Employees_Top_Performers_To_G/,wn.com,2024-04-13T14:15:00+05:30,2024-04-15,gdelt_gkg_observation
20240413120000-723,TCS.NS,TCS sees net headcount drop for first time in 2 decades,https://www.siasat.com/tcs-sees-net-headcount-drop-for-first-time-in-2-decades-3008105/,https://www.siasat.com/tcs-sees-net-headcount-drop-for-first-time-in-2-decades-3008105/,siasat.com,2024-04-13T17:30:00+05:30,2024-04-15,gdelt_gkg_observation
20240413121500-88,TCS.NS,India biz helps TCS post 9 pc jump in Q4 net profit; company says FY25 to be better,https://www.dailyexcelsior.com/india-biz-helps-tcs-post-9-pc-jump-in-q4-net-profit-company-says-fy25-to-be-better/,https://www.dailyexcelsior.com/india-biz-helps-tcs-post-9-pc-jump-in-q4-net-profit-company-says-fy25-to-be-better/,dailyexcelsior.com,2024-04-13T17:45:00+05:30,2024-04-15,gdelt_gkg_observation
20240413121500-307,TCS.NS,"From Amazon to TCS, 10 tech giants revoking WFH policies",https://indianexpress.com/article/technology/tech-news-technology/tech-giants-revoking-wfh-policies-9267924/,https://indianexpress.com/article/technology/tech-news-technology/tech-giants-revoking-wfh-policies-9267924/,indianexpress.com,2024-04-13T17:45:00+05:30,2024-04-15,gdelt_gkg_observation
20240413123000-667,TCS.NS,"India's TCS profits rise on AI, cloud contracts – The Frontier Post",https://thefrontierpost.com/indias-tcs-profits-rise-on-ai-cloud-contracts/,https://thefrontierpost.com/indias-tcs-profits-rise-on-ai-cloud-contracts/,thefrontierpost.com,2024-04-13T18:00:00+05:30,2024-04-15,gdelt_gkg_observation
20240413130000-T914,TCS.NS,TCS: శాలరీ హైక్ ప్రకటించిన టీసీఎస్.. టాప్ పెర్ఫార్మర్‌కు ఎంతంటే..? | TCS Announces Salary Hikes For Employees Sdr,https://www.andhrajyothy.com/2024/business/tcs-announces-salary-hikes-for-employees-sdr-1239190.html,https://www.andhrajyothy.com/2024/business/tcs-announces-salary-hikes-for-employees-sdr-1239190.html,andhrajyothy.com,2024-04-13T18:30:00+05:30,2024-04-15,gdelt_gkg_observation
20240413141500-1011,TCS.NS,"Double-digit Salary Hike At TCS, Average Range And More Details Inside",https://www.india.com/business/double-digit-salary-hike-at-tcs-average-range-and-more-details-inside-6857111/,https://www.india.com/business/double-digit-salary-hike-at-tcs-average-range-and-more-details-inside-6857111/,india.com,2024-04-13T19:45:00+05:30,2024-04-15,gdelt_gkg_observation
20240413194500-148,TCS.NS,Tata Consultancy Services (TCS) Shares Gain After Impressive Q4 Results,https://www.pc-tablet.co.in/tata-consultancy-services-tcs-shares-gain-after-impressive-q4-results/16416/,https://www.pc-tablet.co.in/tata-consultancy-services-tcs-shares-gain-after-impressive-q4-results/16416/,pc-tablet.co.in,2024-04-14T01:15:00+05:30,2024-04-15,gdelt_gkg_observation
20240413224500-428,TCS.NS,"From Amazon to TCS, 10 tech giants revoking WFH policies",https://indianexpress.com/shorts/technology/tech-giants-revoking-wfh-policies-9267924/,https://indianexpress.com/shorts/technology/tech-giants-revoking-wfh-policies-9267924/,indianexpress.com,2024-04-14T04:15:00+05:30,2024-04-15,gdelt_gkg_observation
20240413224500-662,TCS.NS,Tata Consultancy Services Q4 FY24 Results Live : profit rise by 9.15% YOY,https://www.livemint.com/companies/company-results/tata-consultancy-services-q4-fy24-results-live-profit-rise-by-9-15-yoy-11713042862901.html,https://www.livemint.com/companies/company-results/tata-consultancy-services-q4-fy24-results-live-profit-rise-by-9-15-yoy-11713042862901.html,livemint.com,2024-04-14T04:15:00+05:30,2024-04-15,gdelt_gkg_observation
20240414044500-582,TCS.NS,Good News For TCS Employees! Company Announces Annual Salary Hikes,https://zeenews.india.com/technology/good-news-for-tcs-employees-company-announces-annual-salary-hikes-2740133.html,https://zeenews.india.com/technology/good-news-for-tcs-employees-company-announces-annual-salary-hikes-2740133.html,india.com,2024-04-14T10:15:00+05:30,2024-04-15,gdelt_gkg_observation
20240414101500-571,TCS.NS,"Tech Earnings: After TCS, Infosys And Wipro To Release Results",https://www.freepressjournal.in/business/tech-earnings-after-tcs-infosys-and-wipro-to-release-results,https://www.freepressjournal.in/business/tech-earnings-after-tcs-infosys-and-wipro-to-release-results,freepressjournal.in,2024-04-14T15:45:00+05:30,2024-04-15,gdelt_gkg_observation
20240414113000-107,TCS.NS,TCS Q4 Results: IT major stock to open in green tomorrow over robust earnings,https://www.livemint.com/market/stock-market-news/tcs-q4-results-it-major-stock-to-open-in-green-tomorrow-over-robust-earnings-11713010353379.html,https://www.livemint.com/market/stock-market-news/tcs-q4-results-it-major-stock-to-open-in-green-tomorrow-over-robust-earnings-11713010353379.html,livemint.com,2024-04-14T17:00:00+05:30,2024-04-15,gdelt_gkg_observation
20240414163000-65,TCS.NS,"TCS workforce drops by nearly 13,000 to 6,01,546 in FY24 | Indiablooms - First Portal on Digital News Management",https://www.indiablooms.com/finance-details/20244/tcs-workforce-drops-by-nearly-13-000-to-6-01-546-in-fy24.html,https://www.indiablooms.com/finance-details/20244/tcs-workforce-drops-by-nearly-13-000-to-6-01-546-in-fy24.html,indiablooms.com,2024-04-14T22:00:00+05:30,2024-04-15,gdelt_gkg_observation
20240414181500-T1344,TCS.NS,"TCS Salary Hike: TCS कर्मचारियों का कितना बढ़ेगा वेतन? क्या हैं उम्मीदें, जानिए",https://hindi.oneindia.com/jobs/tcs-salary-hike-how-much-will-the-salary-of-tcs-employees-increase-know-about-expectations-913221.html,https://hindi.oneindia.com/jobs/tcs-salary-hike-how-much-will-the-salary-of-tcs-employees-increase-know-about-expectations-913221.html,oneindia.com,2024-04-14T23:45:00+05:30,2024-04-15,gdelt_gkg_observation
20240415010000-783,TCS.NS,India's TCS counts on pricing increases to boost margins,https://www.marketscreener.com/quote/stock/TATA-CONSULTANCY-SERVICES-9743454/news/India-s-TCS-counts-on-pricing-increases-to-boost-margins-46431428/,https://www.marketscreener.com/quote/stock/TATA-CONSULTANCY-SERVICES-9743454/news/India-s-TCS-counts-on-pricing-increases-to-boost-margins-46431428/,marketscreener.com,2024-04-15T06:30:00+05:30,2024-04-15,gdelt_gkg_observation
20240415010000-200,TCS.NS,"Stocks in news: Stocks in news: TCS, Anand Rathi, Aster DM, Bharti Hexacom, Varun Beverages",https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-tcs-anand-rathi-aster-dm-bharti-hexacom-varun-beverages/articleshow/109289001.cms,https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-tcs-anand-rathi-aster-dm-bharti-hexacom-varun-beverages/articleshow/109289001.cms,indiatimes.com,2024-04-15T06:30:00+05:30,2024-04-15,gdelt_gkg_observation
20240415010000-254,TCS.NS,TCS share price: TCS in for some bounce after a good Q4 show,https://economictimes.indiatimes.com/markets/stocks/news/tcs-in-for-some-bounce-after-a-good-q4-show/articleshow/109297445.cms,https://economictimes.indiatimes.com/markets/stocks/news/tcs-in-for-some-bounce-after-a-good-q4-show/articleshow/109297445.cms,indiatimes.com,2024-04-15T06:30:00+05:30,2024-04-15,gdelt_gkg_observation
20240415013000-913,TCS.NS,TCS CEO: Fy25 Will Be Better Than Fy24: Tcs Ceo | Bengaluru News,https://timesofindia.indiatimes.com/business/india-business/fy25-will-be-better-than-fy24-tcs-ceo/articleshow/109296013.cms,https://timesofindia.indiatimes.com/business/india-business/fy25-will-be-better-than-fy24-tcs-ceo/articleshow/109296013.cms,indiatimes.com,2024-04-15T07:00:00+05:30,2024-04-15,gdelt_gkg_observation
20240415013000-842,TCS.NS,TCS to drive digital transformation of Dutch chipmaker NXP Semiconductors : Tech News,https://www.rashtranews.com/tcs-to-drive-digital-transformation-of-dutch-chipmaker-nxp-semiconductors-tech-news/,https://www.rashtranews.com/tcs-to-drive-digital-transformation-of-dutch-chipmaker-nxp-semiconductors-tech-news/,rashtranews.com,2024-04-15T07:00:00+05:30,2024-04-15,gdelt_gkg_observation
20240415020000-83,TCS.NS,"Short Call | More market spoilers join the list; Exide, Navin Fluorine, TCS, Adani Ports in focus",https://www.moneycontrol.com/news/business/markets/short-call-more-market-spoilers-join-the-list-exide-navin-fluorine-tcs-adani-ports-in-focus-12638551.html,https://www.moneycontrol.com/news/business/markets/short-call-more-market-spoilers-join-the-list-exide-navin-fluorine-tcs-adani-ports-in-focus-12638551.html,moneycontrol.com,2024-04-15T07:30:00+05:30,2024-04-15,gdelt_gkg_observation
20240415021500-T169,TCS.NS,"ईरान-इजरायल तनाव के साये में आज TCS और Mphasis के शेयरों पर रखें नजर, जानिए क्यों आ सकती है तेजी",https://navbharattimes.indiatimes.com/business/share-market/share-news/share-market-prediction-for-15th-april-2024-watch-tcs-and-mphasis/articleshow/109293354.cms,https://navbharattimes.indiatimes.com/business/share-market/share-news/share-market-prediction-for-15th-april-2024-watch-tcs-and-mphasis/articleshow/109293354.cms,indiatimes.com,2024-04-15T07:45:00+05:30,2024-04-15,gdelt_gkg_observation
20240415023000-424,TCS.NS,K Krithivasan interview: Not participating in India would be a big miss: TCS CEO K Krithivasan,https://economictimes.indiatimes.com/tech/information-tech/not-participating-in-india-would-be-a-big-miss-tcs-ceo-k-krithivasan/articleshow/109293774.cms,https://economictimes.indiatimes.com/tech/information-tech/not-participating-in-india-would-be-a-big-miss-tcs-ceo-k-krithivasan/articleshow/109293774.cms,indiatimes.com,2024-04-15T08:00:00+05:30,2024-04-15,gdelt_gkg_observation
20240415023000-71,TCS.NS,"Stocks To Watch: TCS, Dixon Technologies, Varun Beverages, Hindustan Unilever, Vodafone Idea",https://www.financialexpress.com/market/stocks-to-watch-tata-consultancy-services-vodafone-idea-dixon-technologies-varun-beverages-hindustan-unilever-bharti-hexacom-sbi-rail-vikas-nigam-3456927/,https://www.financialexpress.com/market/stocks-to-watch-tata-consultancy-services-vodafone-idea-dixon-technologies-varun-beverages-hindustan-unilever-bharti-hexacom-sbi-rail-vikas-nigam-3456927/,financialexpress.com,2024-04-15T08:00:00+05:30,2024-04-15,gdelt_gkg_observation
20240415024500-195,TCS.NS,We still need an economic trigger for a turnaround in business sentiments: TCS CFO Samir Sheksaria,https://www.thehindubusinessline.com/info-tech/we-still-need-an-economic-trigger-for-a-turnaround-in-business-sentiments-tcs-cfo-samir-sheksaria/article68062891.ece,https://www.thehindubusinessline.com/info-tech/we-still-need-an-economic-trigger-for-a-turnaround-in-business-sentiments-tcs-cfo-samir-sheksaria/article68062891.ece,thehindubusinessline.com,2024-04-15T08:15:00+05:30,2024-04-15,gdelt_gkg_observation
20240415030000-248,TCS.NS,There is a greater opportunity to increase pricing: TCS CEO K Krithivasan,https://www.moneycontrol.com/news/technology/there-is-a-greater-opportunity-to-increase-pricing-tcs-ceo-k-krithivasan-12638611.html,https://www.moneycontrol.com/news/technology/there-is-a-greater-opportunity-to-increase-pricing-tcs-ceo-k-krithivasan-12638611.html,moneycontrol.com,2024-04-15T08:30:00+05:30,2024-04-15,gdelt_gkg_observation
